symbol,pair,contractType,deliveryDate,onboardDate,contractStatus,contractSize,marginAsset,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,equalQtyPrecision,maxMoveOrderLimit,triggerProtect,underlyingType,underlyingSubType,filters,orderTypes,timeInForce,liquidationFee,marketTakeBound
BTCUSD_PERP,BTCUSD,PERPETUAL,4133404800000,1597042800000,TRADING,100,BTC,2.5000,5.0000,BTC,USD,1,0,8,8,4,10000,0.0500,COIN,['PoW'],"[{'minPrice': '1000', 'maxPrice': '4520958', 'filterType': 'PRICE_FILTER', 'tickSize': '0.1'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '60000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.015000,0.05
BTCUSD_230929,BTCUSD,CURRENT_QUARTER,1695974400000,1680249600000,TRADING,100,BTC,2.5000,5.0000,BTC,USD,1,0,8,8,4,10000,0.0500,COIN,[],"[{'minPrice': '1000', 'maxPrice': '4671848', 'filterType': 'PRICE_FILTER', 'tickSize': '0.1'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
BTCUSD_231229,BTCUSD,NEXT_QUARTER,1703836800000,1688112000000,TRADING,100,BTC,2.5000,5.0000,BTC,USD,1,0,8,8,4,10000,0.0500,COIN,[],"[{'minPrice': '1000', 'maxPrice': '4671848', 'filterType': 'PRICE_FILTER', 'tickSize': '0.1'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
ETHUSD_PERP,ETHUSD,PERPETUAL,4133404800000,1597734000000,TRADING,10,ETH,2.5000,5.0000,ETH,USD,2,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '50', 'maxPrice': '306159', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '500000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.015000,0.05
ETHUSD_230929,ETHUSD,CURRENT_QUARTER,1695974400000,1680249600000,TRADING,10,ETH,2.5000,5.0000,ETH,USD,2,0,8,8,4,10000,0.0500,COIN,[],"[{'minPrice': '50', 'maxPrice': '316265', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
ETHUSD_231229,ETHUSD,NEXT_QUARTER,1703836800000,1688112000000,TRADING,10,ETH,2.5000,5.0000,ETH,USD,2,0,8,8,4,10000,0.0500,COIN,[],"[{'minPrice': '50', 'maxPrice': '316265', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
LINKUSD_PERP,LINKUSD,PERPETUAL,4133404800000,1597734000000,TRADING,10,LINK,2.5000,5.0000,LINK,USD,3,0,8,8,4,10000,0.0500,COIN,['Oracle'],"[{'minPrice': '0.500', 'maxPrice': '2650', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '25000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
BNBUSD_PERP,BNBUSD,PERPETUAL,4133404800000,1597993200000,TRADING,10,BNB,2.5000,5.0000,BNB,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '7', 'maxPrice': '40227', 'filterType': 'PRICE_FILTER', 'tickSize': '0.010'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '25000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
TRXUSD_PERP,TRXUSD,PERPETUAL,4133404800000,1598338800000,TRADING,10,TRX,2.5000,5.0000,TRX,USD,5,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.00150', 'maxPrice': '8', 'filterType': 'PRICE_FILTER', 'tickSize': '0.00001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '25000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.020000,0.05
DOTUSD_PERP,DOTUSD,PERPETUAL,4133404800000,1598338800000,TRADING,10,DOT,2.5000,5.0000,DOT,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.400', 'maxPrice': '2386', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '50000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
ADAUSD_PERP,ADAUSD,PERPETUAL,4133404800000,1598425200000,TRADING,10,ADA,2.5000,5.0000,ADA,USD,5,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.01700', 'maxPrice': '202', 'filterType': 'PRICE_FILTER', 'tickSize': '0.00010'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '2000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '25000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
EOSUSD_PERP,EOSUSD,PERPETUAL,4133404800000,1599375600000,TRADING,10,EOS,2.5000,5.0000,EOS,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '0.100', 'maxPrice': '1000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '25000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.10
LTCUSD_PERP,LTCUSD,PERPETUAL,4133404800000,1599462000000,TRADING,10,LTC,2.5000,5.0000,LTC,USD,2,0,8,8,4,10000,0.0500,COIN,['PoW'],"[{'minPrice': '3.80', 'maxPrice': '17047', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '8000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.020000,0.05
BCHUSD_PERP,BCHUSD,PERPETUAL,4133404800000,1599462000000,TRADING,10,BCH,2.5000,5.0000,BCH,USD,2,0,8,8,4,10000,0.0500,COIN,['PoW'],"[{'minPrice': '14.40', 'maxPrice': '63936', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '20000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
XRPUSD_PERP,XRPUSD,PERPETUAL,4133404800000,1599634800000,TRADING,10,XRP,2.5000,5.0000,XRP,USD,4,0,8,8,4,10000,0.0500,COIN,['Payment'],"[{'minPrice': '0.0150', 'maxPrice': '111', 'filterType': 'PRICE_FILTER', 'tickSize': '0.0001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '200000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '40000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
ETCUSD_PERP,ETCUSD,PERPETUAL,4133404800000,1599634800000,TRADING,10,ETC,2.5000,5.0000,ETC,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '1.200', 'maxPrice': '6392', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.10
FILUSD_PERP,FILUSD,PERPETUAL,4133404800000,1603350000000,TRADING,10,FIL,2.5000,5.0000,FIL,USD,3,0,8,8,4,10000,0.0500,COIN,['Storage'],"[{'minPrice': '0.001', 'maxPrice': '10000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '6564', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.10
EGLDUSD_PERP,EGLDUSD,PERPETUAL,4133404800000,1608534000000,TRADING,10,EGLD,2.5000,5.0000,EGLD,USD,3,0,8,8,4,10000,0.0500,COIN,['Layer-1'],"[{'minPrice': '1.840', 'maxPrice': '14473', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.10
DOGEUSD_PERP,DOGEUSD,PERPETUAL,4133404800000,1612162800000,TRADING,10,DOGE,2.5000,5.0000,DOGE,USD,6,0,8,8,4,10000,0.0500,COIN,['Meme'],"[{'minPrice': '0.002000', 'maxPrice': '30', 'filterType': 'PRICE_FILTER', 'tickSize': '0.000010'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '30000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.017500,0.05
UNIUSD_PERP,UNIUSD,PERPETUAL,4133404800000,1618297200000,TRADING,10,UNI,2.5000,5.0000,UNI,USD,3,0,8,8,4,10000,0.0500,COIN,['DEX'],"[{'minPrice': '0.390', 'maxPrice': '10000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 20, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']",0.010000,0.05
